학생코드,반코드,시험코드,1-1-a,1-1-b,1-2-a,1-2-b,1-3-a,1-3-b,1-3-c,2-1-a,2-2-a,2-3-a,2-3-b,3-1-a,3-2-a,3-3-a,score,std_score,percentile
141,1,3,3,2,2,0,0,0,0,4,0,0,0,4,0,0,15,81,78
143,1,3,3,3,3,3,2,2,3,6,4,0,3,4,8,0,44,119,15
145,1,3,2,2,0,0,0,0,0,3,0,0,0,4,8,0,19,86,75
146,1,3,1,0,0,0,0,0,0,6,4,1,3,4,8,0,27,97,56
148,1,3,3,3,0,0,0,0,0,6,4,2,3,4,8,0,33,105,40
153,1,3,3,3,2,0,0,0,0,6,4,2,0,4,3,0,27,97,56
155,1,3,3,3,2,0,0,0,0,6,4,0,3,4,8,0,33,105,40
156,1,3,3,2,1,3,0,0,0,3,0,0,3,4,5,0,24,93,64
158,1,3,3,3,2,0,0,0,0,0,0,0,0,4,0,0,12,77,83
159,1,3,3,3,3,3,0,0,0,6,4,3,3,2,6,0,36,108,33
160,1,3,3,1,1,0,0,0,0,6,4,0,3,2,0,0,20,87,71
162,1,3,3,3,3,0,0,0,0,6,2,2,3,4,0,0,26,95,58
163,1,3,3,3,3,3,0,0,0,0,4,0,0,4,0,0,20,87,71
165,1,3,3,3,1,0,2,0,0,0,0,0,0,4,5,0,18,85,76
166,1,3,3,3,3,3,0,0,0,6,4,2,3,2,5,0,34,106,37
168,1,3,3,3,3,3,2,2,3,6,4,4,3,4,8,12,60,140,0
172,1,3,3,3,3,3,2,2,3,6,4,4,3,4,0,0,40,114,24
173,1,3,3,3,3,3,2,0,0,6,4,4,0,4,8,0,40,114,24
176,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,97
177,1,3,3,3,3,3,0,0,0,6,4,4,0,4,4,0,34,106,37
179,1,3,3,3,3,3,2,2,3,6,4,4,0,4,0,0,37,110,31
181,1,3,3,3,0,0,0,0,0,6,4,4,3,4,4,0,31,102,45
182,1,3,3,3,3,3,0,0,0,6,4,4,3,4,8,12,53,131,6
183,1,3,3,3,0,0,0,0,0,3,0,0,3,4,0,0,16,82,77
184,1,3,3,3,0,0,0,0,0,3,0,0,0,4,0,0,13,78,81
185,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,97
186,1,3,3,3,3,3,2,2,3,6,4,0,0,4,8,0,41,115,20
187,1,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,10,74,86
188,1,3,3,3,3,3,2,2,3,6,0,4,3,4,8,12,56,135,3
189,1,3,3,3,3,3,0,0,0,6,4,0,0,4,0,0,26,95,58
190,1,3,3,3,0,0,0,0,0,6,4,0,3,4,8,0,31,102,45
191,1,3,3,3,3,3,0,0,0,6,4,4,0,4,8,0,38,111,28
192,1,3,3,3,0,0,0,0,0,6,4,4,0,4,0,0,24,93,64
196,1,3,3,3,3,3,2,1,0,6,4,4,3,4,8,12,56,135,3
197,1,3,3,3,0,0,0,0,0,3,1,0,0,0,0,0,10,74,86
199,1,3,3,3,0,0,0,0,0,6,4,0,0,4,8,0,28,98,52
200,1,3,3,3,3,3,2,2,3,3,0,0,0,4,0,0,26,95,58
202,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,69,90
203,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,69,90
205,1,3,3,3,3,3,2,2,3,0,0,0,0,4,8,12,43,118,16
207,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,95
210,1,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,14,79,79
211,1,3,3,0,0,0,0,0,0,0,0,0,3,4,0,0,10,74,86
213,1,3,3,3,3,3,0,0,0,6,0,0,0,4,8,12,42,116,18
214,1,3,3,3,3,3,2,2,3,6,4,4,3,4,8,0,48,124,11
216,1,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,69,90
217,1,3,3,3,3,3,2,2,3,6,4,4,0,4,0,0,37,110,31
218,1,3,3,0,0,0,0,0,0,0,0,4,3,4,0,0,14,79,79
219,1,3,3,3,3,3,2,2,3,6,4,4,3,4,8,0,48,124,11
223,1,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,7,70,89
225,1,3,3,3,3,3,2,2,3,6,4,0,0,4,8,12,53,131,6
229,1,3,3,3,3,3,0,0,0,6,4,0,0,4,0,0,26,95,58
231,1,3,3,3,3,3,0,0,0,6,4,4,3,4,8,12,53,131,6
234,1,3,3,3,3,3,2,2,3,6,0,4,3,4,8,0,44,119,15
236,1,3,3,3,3,3,2,2,3,6,4,0,0,4,8,0,41,115,20
237,1,3,0,0,0,0,0,0,0,3,0,0,3,4,8,0,18,85,76
238,1,3,3,3,0,0,0,0,0,6,4,0,0,4,0,0,20,87,71
239,1,3,3,3,3,3,2,2,0,6,4,0,0,4,0,0,30,101,47
256,1,3,3,3,0,0,0,0,0,6,4,0,0,4,0,0,20,87,71
